Ontology ID;Ontology Name;Custom Name;Full Link;Parent;
ChemASAP:0000001;manual;manual;;=mode_usage;
ChemASAP:0000002;semi-automated;semi-automated;;=mode_usage;
ChemASAP:0000003;automated;automated;;=mode_usage;
ChemASAP:0000004;high performance supercritical liquid chromatography-tandem mass spectrometry;LC-SFC/MS;;=subtype,CHMO:0001004(type)|ChemASAP:0000002(mode)|ChemASAP:0000003(mode);
;;;;;
ChemASAP:0000006;metal;metal;;=material_engineering;
ChemASAP:0000007;glas;glas;;=material_engineering;
ChemASAP:0000008;not available ;none;;=device;oder Liste
;;;;;
ChemASAP:0000009;methanol;MeOH;;=solvent;
ChemASAP:0000010;ethanol;EtOH;;=solvent;
ChemASAP:0000011;chloroform;CHCl3;;=solvent;
ChemASAP:0000012;tetrahydrofuran;THF;;=solvent;
ChemASAP:0000013;dimethylformamide;DMF;;=solvent;
ChemASAP:0000014;chloroform;CHCl3;;=solvent;
ChemASAP:0000015;dimethylsulfoxide;DMSO;;=solvent;
ChemASAP:0000016;acetonitrile;MeCN;;=solvent;
ChemASAP:0000017;actone;Acetone;;=solvent;
ChemASAP:0000018;dichloromethane;DCM;;=solvent;
